wn,counts
3319.79984,0.00000
3317.64041,0.00000
3315.48156,0.00000
3313.29820,0.00000
3311.14054,0.00000
3308.98346,0.00000
3306.80190,0.00000
3304.64600,0.00000
3302.49069,0.00000
3300.33597,0.00000
3298.15679,0.00000
3296.00324,0.00000
3293.85029,0.00000
3291.67289,0.00000
3289.52111,0.00000
3287.36992,0.00000
3285.21931,0.00000
3283.04429,0.00000
3280.89485,0.00000
3278.74601,0.00000
3276.59774,0.00000
3274.42509,0.00000
3272.27800,0.00000
3270.13150,0.00000
3267.98557,0.00000
3265.84023,0.00000
3263.67054,0.00000
3261.52637,0.00000
3259.38278,0.00000
3257.23978,0.00000
3255.09736,0.00000
3252.95552,0.00000
3250.78936,0.00000
3248.64869,0.00000
3246.50860,0.00000
3244.36909,0.00000
3242.23016,0.00000
3240.09181,0.00000
3237.95404,0.00000
3235.81685,0.00000
3233.65539,0.00000
3231.51937,0.00000
3229.38392,0.00000
3227.24905,0.00000
3225.11476,0.00000
3222.98105,0.00000
3220.84792,0.00000
3218.71536,0.00000
3216.58338,0.00000
3214.45198,0.00000
3212.32116,0.00000
3210.19091,0.00000
3208.06124,0.00000
3205.93215,0.00000
3203.80363,0.00000
3201.67569,0.00000
3199.54832,0.00000
3197.42153,0.00000
3195.29531,0.00000
3193.16967,0.00000
3191.04460,0.00000
3188.92011,0.00000
3186.79619,0.00000
3184.67285,0.00000
3182.55008,0.00000
3180.42788,0.00000
3178.30626,0.00000
3176.18521,0.00000
3174.06473,0.00000
3171.94483,0.00000
3169.82549,0.00000
3167.73137,0.00000
3165.61317,0.00000
3163.49555,0.00000
3161.37849,-0.00000
3159.26201,0.00000
3157.14610,-0.00000
3155.03076,0.00000
3152.91600,0.00000
3150.82638,0.00000
3148.71274,0.00000
3146.59968,0.00000
3144.48718,0.00000
3142.37525,0.00000
3140.26390,0.00000
3138.17765,0.00000
3136.06742,0.00000
3133.95777,0.00000
3131.84868,0.00000
3129.74015,0.00000
3127.65671,0.00000
3125.54932,0.00000
3123.44249,0.00000
3121.33623,0.00000
3119.23054,0.00000
3117.14989,0.00000
3115.04532,0.00000
3112.94132,0.00000
3110.83789,0.00000
3108.75947,0.00000
3106.65716,0.00000
3104.55542,0.00000
3102.47867,0.00000
3100.37805,0.00000
3098.27800,0.00000
3096.20291,0.00000
3094.10398,0.00000
3092.00561,0.00000
3089.90780,0.00000
3087.83494,0.00000
3085.73826,0.00000
3083.66651,0.00000
3081.57094,0.50712
3079.47593,0.45181
3077.40584,0.70887
3075.31196,0.90338
3073.21863,0.93352
3071.15020,1.00719
3069.05799,1.17743
3066.99066,1.10985
3064.89957,1.57805
3062.80904,1.60223
3060.74337,2.35984
3058.65395,2.15189
3056.58938,2.49713
3054.50107,2.93322
3052.41333,3.98104
3050.35041,3.36929
3048.26378,3.91620
3046.20196,4.26532
3044.11643,4.94140
3042.05571,6.51077
3039.97130,8.91529
3037.91168,10.23011
3035.82837,10.46673
3033.76984,11.17708
3031.68765,11.83338
3029.63022,13.54450
3027.54913,14.76449
3025.49279,16.95438
3023.41281,17.06949
3021.35757,21.93832
3019.27869,22.45456
3017.22454,25.02087
3015.17093,28.89928
3013.09371,27.95630
3011.04119,35.52008
3008.96507,34.34598
3006.91364,40.71704
3004.83863,38.84995
3002.78829,42.52585
3000.73849,49.56995
2998.66513,54.20310
2996.61642,62.42625
2994.54415,62.32556
2992.49653,65.71252
2990.44945,67.20322
2988.37883,78.00830
2986.33283,84.34142
2984.28737,85.14881
2982.21840,100.02539
2980.17403,105.14984
2978.13019,113.63783
2976.06286,110.66906
2974.02011,118.82655
2971.97790,116.82444
2969.91221,131.19003
2967.87108,123.22533
2965.83049,117.65811
2963.79043,109.76229
2961.72692,109.12599
2959.68795,89.58638
2957.64951,82.44921
2955.58764,68.33101
2953.55028,61.37656
2951.51346,56.71866
2949.47717,50.55539
2947.41747,43.62950
2945.38226,44.68898
2943.34759,40.33551
2941.31345,48.26246
2939.27984,53.77513
2937.22286,74.72552
2935.19033,93.69842
2933.15834,115.45402
2931.12688,143.07878
2929.09595,149.07193
2927.04167,148.37854
2925.01182,162.66716
2922.98250,155.45661
2920.95371,149.79231
2918.92546,140.66066
2916.89773,131.91854
2914.87054,121.30248
2912.82005,121.87302
2910.79393,97.62646
2908.76834,86.78237
2906.74328,87.19246
2904.71876,76.93218
2902.69476,69.00000
2900.67130,55.42980
2898.64837,54.94990
2896.62596,53.11706
2894.60409,45.60000
2892.58275,37.51869
2890.53817,35.34112
2888.51789,31.37677
2886.49814,28.60251
2884.47892,31.49936
2882.46024,33.50628
2880.44207,36.97020
2878.42444,42.11488
2876.40734,52.52920
2874.39076,81.52875
2872.37472,93.96746
2870.35920,124.85391
2868.34421,134.46489
2866.32974,131.45045
2864.31580,132.44505
2862.30239,121.52169
2860.28951,120.27916
2858.27715,106.77697
2856.26532,100.53578
2854.27767,95.17880
2852.26689,84.90377
2850.25663,65.49196
2848.24689,65.05642
2846.23769,52.76568
2844.22900,45.76350
2842.22084,38.71289
2840.21321,37.39008
2838.20610,29.50298
2836.19951,30.96872
2834.19345,31.09977
2832.21150,27.46819
2830.20648,29.57743
2828.20198,21.12961
2826.19801,22.73450
2824.19456,13.84780
2822.19163,16.69132
2820.18923,22.82452
2818.21089,16.21321
2816.20952,16.77131
2814.20868,12.73172
2812.20835,13.72640
2810.20855,10.98907
